T*,ρ*,U*,+/-,p*,+/-
8.50E-01,1.00E-03,-1.03E-02,2.34E-05,8.44E-04,4.66E-08
8.50E-01,3.00E-03,-3.10E-02,5.91E-05,2.50E-03,4.99E-07
8.50E-01,5.00E-03,-5.19E-02,7.53E-05,4.10E-03,5.05E-07
8.50E-01,7.00E-03,-7.28E-02,1.34E-04,5.66E-03,7.96E-07
8.50E-01,9.00E-03,-9.40E-02,1.29E-04,7.16E-03,2.24E-06
8.50E-01,7.76E-01,-5.51E+00,4.55E-04,6.77E-03,1.77E-03
8.50E-01,7.80E-01,-5.54E+00,7.26E-04,4.79E-02,3.18E-03
8.50E-01,8.20E-01,-5.79E+00,6.03E-04,5.54E-01,4.13E-03
8.50E-01,8.60E-01,-6.03E+00,2.38E-03,1.27E+00,1.36E-02
8.50E-01,9.00E-01,-6.24E+00,5.27E-03,2.23E+00,2.72E-02
9.00E-01,1.00E-03,-9.92E-03,1.89E-05,8.94E-04,2.48E-08
9.00E-01,3.00E-03,-2.98E-02,3.21E-05,2.65E-03,2.54E-07
9.00E-01,5.00E-03,-4.98E-02,3.80E-05,4.36E-03,2.19E-07
9.00E-01,7.00E-03,-6.98E-02,7.66E-05,6.02E-03,1.02E-06
9.00E-01,9.00E-03,-8.99E-02,2.44E-05,7.64E-03,1.44E-06
9.00E-01,7.76E-01,-5.47E+00,4.20E-04,2.41E-01,2.74E-03
9.00E-01,7.80E-01,-5.50E+00,7.86E-04,2.79E-01,2.97E-03
9.00E-01,8.20E-01,-5.75E+00,7.51E-04,8.24E-01,2.85E-03
9.00E-01,8.60E-01,-5.98E+00,5.53E-04,1.58E+00,3.29E-03
9.00E-01,9.00E-01,-6.18E+00,1.57E-03,2.58E+00,9.54E-03